,OG_Title,TMDB_Title,Release_Date,Rating,Genre,Budget,Runtime,Original_Language,MovieAge,Semester,Weekday,Date,Attendance
129,Der beste Film aller Zeiten,Official Competition,2021-09-04,6.7,"['Comedy', 'Drama']",0.0,114.0,es,501 days,Wintersemester 2223,Wednesday,2023-01-18,1
130,Vertigo,Vertigo,1958-05-28,8.168,"['Mystery', 'Romance', 'Thriller']",2479000.0,129.0,en,23612 days,Wintersemester 2223,Thursday,2023-01-19,10
131,Tomorrow - Die Welt ist voller Lösungen,Tomorrow,2015-11-15,7.8,['Documentary'],0.0,118.0,fr,2627 days,Wintersemester 2223,Tuesday,2023-01-24,9
132,Top Gun: Maverick,Top Gun: Maverick,2022-05-21,8.221,"['Action', 'Drama']",170000000.0,131.0,en,250 days,Wintersemester 2223,Thursday,2023-01-26,2
133,Wo in Paris die Sonne aufgeht,"Paris, 13th District",2021-11-03,6.9,"['Drama', 'Romance']",0.0,106.0,fr,454 days,Wintersemester 2223,Tuesday,2023-01-31,4
134,Triangle of Sadness,Triangle of Sadness,2022-09-18,7.1,"['Comedy', 'Drama']",15600000.0,147.0,en,136 days,Wintersemester 2223,Wednesday,2023-02-01,30
135,Vortex,Vortex,2022-01-27,7.154,['Drama'],0.0,142.0,fr,376 days,Wintersemester 2223,Tuesday,2023-02-07,2
136,Men,Men,2022-05-20,6.141,"['Horror', 'Thriller', 'Fantasy']",6500000.0,100.0,en,264 days,Wintersemester 2223,Wednesday,2023-02-08,13
137,Soul Kitchen,Soul Kitchen,2009-09-09,6.882,"['Drama', 'Comedy']",4000000.0,99.0,de,406 days,Wintersemester 1011,Wednesday,2010-10-20,95
138,Up in the Air,Up in the Air,2009-12-04,6.867,"['Drama', 'Romance']",25000000.0,110.0,en,326 days,Wintersemester 1011,Tuesday,2010-10-26,61
139,Vincent will meer,Vincent Wants to Sea,2010-04-21,6.757,['Drama'],0.0,96.0,de,195 days,Wintersemester 1011,Tuesday,2010-11-02,203
140,"Marcello, Marcello",Marcello Mastroianni: I Remember,1997-09-10,7.26,['Documentary'],0.0,198.0,it,4802 days,Wintersemester 1011,Wednesday,2010-11-03,27
141,Versailles,Versailles,2008-05-19,6.2,['Drama'],0.0,113.0,fr,904 days,Wintersemester 1011,Tuesday,2010-11-09,50
142,Shutter Island,Shutter Island,2010-02-14,8.203,"['Drama', 'Thriller', 'Mystery']",80000000.0,138.0,en,269 days,Wintersemester 1011,Wednesday,2010-11-10,247
143,David wants to fly,David Wants to Fly,2010-05-06,6.8,['Documentary'],0.0,96.0,en,194 days,Wintersemester 1011,Tuesday,2010-11-16,21
144,Moon,Moon,2009-06-12,7.568,"['Science Fiction', 'Drama']",5000000.0,97.0,en,523 days,Wintersemester 1011,Wednesday,2010-11-17,87
145,La Nana - Die Perle,The Maid,2009-08-13,6.7,"['Drama', 'Comedy']",0.0,97.0,es,474 days,Wintersemester 1011,Tuesday,2010-11-30,29
146,Pee-wee's Big Adventure,Pee-wee's Big Adventure,1985-07-26,6.4,"['Comedy', 'Adventure']",6000000.0,91.0,en,9259 days,Wintersemester 1011,Wednesday,2010-12-01,13
147,Gordos,Fat People,2009-09-11,6.1,"['Drama', 'Comedy']",0.0,114.0,es,452 days,Wintersemester 1011,Tuesday,2010-12-07,31
148,A Single Man,A Single Man,2009-12-11,7.291,"['Drama', 'Romance']",7000000.0,97.0,en,368 days,Wintersemester 1011,Tuesday,2010-12-14,48
149,"Renn, wenn Du kannst",Run If You Can,2010-07-28,6.824,['Drama'],0.0,112.0,de,140 days,Wintersemester 1011,Wednesday,2010-12-15,48
150,Die Beschissenheit der Dinge,The Misfortunates,2009-10-07,7.21,"['Drama', 'Comedy']",0.0,108.0,nl,462 days,Wintersemester 1011,Wednesday,2011-01-12,104
151,The Messenger - Die letzte Nachricht,The Messenger,2009-11-13,6.73,"['Drama', 'Romance']",6500000.0,113.0,en,431 days,Wintersemester 1011,Tuesday,2011-01-18,35
152,Die Fremde,When We Leave,2010-03-11,6.9,"['Drama', 'Family']",0.0,119.0,de,320 days,Wintersemester 1011,Tuesday,2011-01-25,22
153,Micmacs - Uns gehört Paris!,Micmacs,2009-10-28,6.603,"['Action', 'Comedy', 'Crime']",33000000.0,100.0,fr,455 days,Wintersemester 1011,Wednesday,2011-01-26,50
154,Crazy Heart,Crazy Heart,2009-12-16,6.9,"['Drama', 'Music', 'Romance']",7000000.0,112.0,en,420 days,Wintersemester 1011,Wednesday,2011-02-09,42
155,Precious,Precious,2009-11-06,7.331,['Drama'],10000000.0,110.0,en,466 days,Wintersemester 1011,Tuesday,2011-02-15,76
156,Herr Lehmann,Berlin Blues,2003-10-01,6.9,"['Comedy', 'Drama']",0.0,105.0,de,755 days,Wintersemester 0506,Tuesday,2005-10-25,73
157,Die Fetten Jahre sind vorbei,The Edukators,2004-10-25,7.2,"['Drama', 'Comedy']",0.0,127.0,de,367 days,Wintersemester 0506,Thursday,2005-10-27,77
158,Per Anhalter durch die Galaxis,The Hitchhiker's Guide to the Galaxy,2005-04-28,6.673,"['Adventure', 'Comedy', 'Science Fiction']",50000000.0,109.0,en,188 days,Wintersemester 0506,Wednesday,2005-11-02,122
159,Hotel Ruanda,Hotel Rwanda,2004-12-22,7.716,"['Drama', 'History', 'War']",17500000.0,121.0,en,321 days,Wintersemester 0506,Tuesday,2005-11-08,132
160,City of God,City of God,2002-08-30,8.43,"['Drama', 'Crime']",3300000.0,130.0,pt,1167 days,Wintersemester 0506,Wednesday,2005-11-09,93
161,Before Sunrise,Before Sunrise,1995-01-27,8.0,"['Drama', 'Romance']",2500000.0,101.0,en,3945 days,Wintersemester 0506,Tuesday,2005-11-15,116
162,Before Sunset,Before Sunset,2004-06-16,7.8,"['Drama', 'Romance']",2700000.0,80.0,en,518 days,Wintersemester 0506,Wednesday,2005-11-16,88
163,It's in the water,It's in the Water,1997-01-30,5.8,"['Romance', 'Comedy']",0.0,100.0,en,3218 days,Wintersemester 0506,Tuesday,2005-11-22,15
164,Requiem for a dream,Requiem for a Dream,2000-10-06,8.019,"['Crime', 'Drama']",4500000.0,102.0,en,1874 days,Wintersemester 0506,Wednesday,2005-11-23,94
165,Jonny Vang,Jonny Vang,2003-02-14,5.6,"['Comedy', 'Drama']",0.0,85.0,no,1020 days,Wintersemester 0506,Wednesday,2005-11-30,29
166,Alles auf Zucker,Go for Zucker,2004-12-31,6.4,['Comedy'],0.0,91.0,de,341 days,Wintersemester 0506,Wednesday,2005-12-07,58
167,Long Walk Home,The Long Walk Home,1990-12-21,7.4,"['Drama', 'History']",0.0,97.0,en,5471 days,Wintersemester 0506,Tuesday,2005-12-13,40
168,Zimt und Koriander,A Touch of Spice,2003-10-24,6.578,"['Comedy', 'Drama']",0.0,108.0,el,782 days,Wintersemester 0506,Wednesday,2005-12-14,102
169,Grüne Tomaten,Fried Green Tomatoes,1991-12-27,7.703,"['Drama', 'Comedy']",11000000.0,130.0,en,5108 days,Wintersemester 0506,Wednesday,2005-12-21,37
170,Schwarze Katze - weißer Kater,"Black Cat, White Cat",1998-06-01,7.693,"['Comedy', 'Romance', 'Crime']",0.0,127.0,sr,2781 days,Wintersemester 0506,Wednesday,2006-01-11,67
171,No Man's Land,No Man's Land,1987-10-23,6.0,"['Action', 'Drama', 'Crime']",8000000.0,106.0,en,6661 days,Wintersemester 0506,Tuesday,2006-01-17,67
172,Broken Flowers,Broken Flowers,2005-08-05,6.9,"['Comedy', 'Drama', 'Mystery', 'Romance']",10000000.0,106.0,en,166 days,Wintersemester 0506,Wednesday,2006-01-18,123
173,One day in Europe,One Day in Europe,2005-04-01,6.19,['Comedy'],0.0,95.0,en,299 days,Wintersemester 0506,Wednesday,2006-01-25,142
174,Die Blechtrommel,The Tin Drum,1979-05-02,6.968,"['Drama', 'History', 'War']",3000000.0,162.0,de,9772 days,Wintersemester 0506,Wednesday,2006-02-01,61
175,Der neunte Tag,The Ninth Day,2004-08-05,6.3,['Drama'],0.0,98.0,de,551 days,Wintersemester 0506,Tuesday,2006-02-07,34
176,Elizabeth,Elizabeth,1998-09-13,7.181,"['Drama', 'History']",30000000.0,124.0,en,2711 days,Wintersemester 0506,Tuesday,2006-02-14,15
177,Die Bettlektüre,The Pillow Book,1995-09-01,6.443,"['Drama', 'Romance']",0.0,126.0,en,3820 days,Wintersemester 0506,Wednesday,2006-02-15,29
178,21 Gramm,21 Grams,2003-09-06,7.335,"['Drama', 'Crime', 'Thriller']",20000000.0,124.0,en,899 days,Wintersemester 0506,Tuesday,2006-02-21,21
179,Das Mädchen mit dem Perlenohrring,Girl with a Pearl Earring,2003-12-12,6.598,"['Drama', 'Romance']",10500000.0,101.0,en,803 days,Wintersemester 0506,Wednesday,2006-02-22,92
180,3 Zimmer / Küche / Bad,Move,2012-10-03,6.5,['Comedy'],0.0,118.0,de,371 days,Wintersemester 1314,Wednesday,2013-10-09,2
181,Oh Boy,A Coffee in Berlin,2012-11-01,7.1,"['Drama', 'Comedy']",300000.0,88.0,de,348 days,Wintersemester 1314,Tuesday,2013-10-15,72
182,Der Große Gatsby,The Great Gatsby,2013-05-09,7.371,"['Drama', 'Romance']",105000000.0,143.0,en,160 days,Wintersemester 1314,Wednesday,2013-10-16,142
183,Zero Dark Thirty,Zero Dark Thirty,2012-12-19,6.987,"['Thriller', 'Drama']",40000000.0,157.0,en,307 days,Wintersemester 1314,Tuesday,2013-10-22,56
184,Der Tag wird kommen,The Big Night,2012-06-06,5.8,['Comedy'],0.0,92.0,fr,504 days,Wintersemester 1314,Wednesday,2013-10-23,9
185,Mademoiselle Populaire,Populaire,2012-11-27,6.7,"['Comedy', 'Romance']",0.0,111.0,fr,336 days,Wintersemester 1314,Tuesday,2013-10-29,13
186,Berberian Sound Studio,Berberian Sound Studio,2012-08-30,6.1,"['Horror', 'Drama', 'Thriller']",0.0,92.0,en,426 days,Wintersemester 1314,Wednesday,2013-10-30,13
187,Das Leben ist nichts für Feiglinge,Life Is Not for Cowards,2013-04-18,6.2,"['Comedy', 'Drama']",0.0,98.0,de,202 days,Wintersemester 1314,Wednesday,2013-11-06,32
188,Hitchcock,Hitchcock,2012-11-22,6.6,['Drama'],15700000.0,98.0,en,356 days,Wintersemester 1314,Wednesday,2013-11-13,45
189,Ginger & Rosa,Ginger and Fred,1986-01-13,6.9,"['Comedy', 'Drama']",0.0,125.0,it,10179 days,Wintersemester 1314,Tuesday,2013-11-26,20
190,The Legend of Kaspar Hauser,The Legend of Kaspar Hauser,2013-06-13,5.8,"['Comedy', 'Mystery', 'Science Fiction', 'Western']",2000000.0,95.0,it,173 days,Wintersemester 1314,Tuesday,2013-12-03,5
191,Elysium,Elysium,2013-08-07,6.506,"['Science Fiction', 'Action', 'Drama', 'Thriller']",115000000.0,109.0,en,119 days,Wintersemester 1314,Wednesday,2013-12-04,67
192,Darwins Alptraum,Darwin's Nightmare,2005-01-21,7.0,['Documentary'],0.0,107.0,en,3245 days,Wintersemester 1314,Tuesday,2013-12-10,34
193,The Grandmaster,The Grandmaster,2013-01-10,6.605,"['Action', 'Drama', 'History']",3860000.0,130.0,zh,335 days,Wintersemester 1314,Wednesday,2013-12-11,15
194,Die Kunst sich die Schuhe zu binden,The Importance of Tying Your Own Shoes,2011-03-18,6.419,"['Drama', 'Comedy']",950000.0,96.0,sv,1005 days,Wintersemester 1314,Tuesday,2013-12-17,15
195,Albert Nobbs,Albert Nobbs,2011-12-21,6.325,['Drama'],8000000.0,113.0,en,728 days,Wintersemester 1314,Wednesday,2013-12-18,1
196,Ich - Einfach Unverbesserlich 2,Despicable Me 2,2013-06-26,6.9,"['Animation', 'Comedy', 'Family']",76000000.0,98.0,en,195 days,Wintersemester 1314,Tuesday,2014-01-07,63
197,An ihrer Stelle,Fill the Void,2012-07-01,6.5,['Drama'],0.0,90.0,he,556 days,Wintersemester 1314,Wednesday,2014-01-08,1
198,Am Ende eines viel zu kurzen Tages,Death of a Superhero,2011-05-04,6.9,['Drama'],3.0,97.0,en,986 days,Wintersemester 1314,Tuesday,2014-01-14,21
199,Frances Ha,Frances Ha,2013-05-17,7.399,"['Comedy', 'Drama']",0.0,86.0,en,243 days,Wintersemester 1314,Wednesday,2014-01-15,5
200,Prince Avalanche,Prince Avalanche,2013-02-13,6.129,"['Comedy', 'Drama']",725000.0,94.0,en,343 days,Wintersemester 1314,Wednesday,2014-01-22,17
201,No Place on Earth,No Place on Earth,2012-09-10,6.7,"['Documentary', 'War']",0.0,81.0,en,505 days,Wintersemester 1314,Tuesday,2014-01-28,27
202,Paulette,Paulette,2012-10-04,6.457,"['Crime', 'Comedy']",0.0,87.0,fr,482 days,Wintersemester 1314,Wednesday,2014-01-29,38
203,Die Unfassbaren – Now you see me,Now You See Me,2013-05-29,7.342,"['Thriller', 'Crime']",75000000.0,116.0,en,252 days,Wintersemester 1314,Wednesday,2014-02-05,25
204,Fliegende Liebende,I'm So Excited!,2013-03-08,5.719,['Comedy'],5000000.0,90.0,es,340 days,Wintersemester 1314,Tuesday,2014-02-11,18
205,Feuchtgebiete,Wetlands,2013-08-22,5.25,"['Drama', 'Comedy']",0.0,109.0,de,174 days,Wintersemester 1314,Wednesday,2014-02-12,26
206,5 Zimmer Küche Sarg,What We Do in the Shadows,2014-06-19,7.576,"['Comedy', 'Horror']",1600000.0,86.0,en,131 days,Wintersemester 1415,Tuesday,2014-10-28,112
207,Good Morning Vietnam,"Good Morning, Vietnam",1987-12-23,7.311,"['Comedy', 'Drama', 'War']",13000000.0,121.0,en,9813 days,Wintersemester 1415,Tuesday,2014-11-04,50
208,Blackfish,Blackfish,2013-06-07,7.864,['Documentary'],0.0,83.0,en,536 days,Wintersemester 1415,Tuesday,2014-11-25,12
209,Much Ado about nothing,Much Ado About Nothing,1993-05-07,6.958,"['Drama', 'Comedy', 'Romance']",11000000.0,111.0,en,7873 days,Wintersemester 1415,Wednesday,2014-11-26,27
210,Zulu,Zulu,1964-01-22,7.384,"['Action', 'Drama', 'History', 'War']",1720000.0,138.0,en,18578 days,Wintersemester 1415,Wednesday,2014-12-03,18
211,Die Karte meiner Träume,The Young and Prodigious T.S. Spivet,2013-10-16,6.818,"['Adventure', 'Drama', 'Family']",33000000.0,105.0,en,426 days,Wintersemester 1415,Tuesday,2014-12-16,28
212,Jack und das Kuckucksuhrherz,Jack and the Cuckoo-Clock Heart,2014-02-05,7.219,"['Animation', 'Romance', 'Adventure', 'Drama', 'Fantasy']",33746302.0,94.0,fr,315 days,Wintersemester 1415,Wednesday,2014-12-17,17
213,Enemy,Enemy,2014-03-14,6.877,"['Thriller', 'Mystery']",0.0,91.0,en,298 days,Wintersemester 1415,Tuesday,2015-01-06,35
214,Splice,Splice,2010-06-03,5.872,"['Horror', 'Science Fiction']",26000000.0,104.0,en,1679 days,Wintersemester 1415,Wednesday,2015-01-07,28
215,Saving Mr. Banks,Saving Mr. Banks,2013-11-29,7.3,"['Comedy', 'Drama', 'History']",35000000.0,125.0,en,410 days,Wintersemester 1415,Tuesday,2015-01-13,26
216,Guardians of the Galaxy,Guardians of the Galaxy,2014-07-30,7.908,"['Action', 'Science Fiction', 'Adventure']",170000000.0,121.0,en,174 days,Wintersemester 1415,Tuesday,2015-01-20,119
217,Snowpiercer,Snowpiercer,2013-08-01,6.903,"['Action', 'Science Fiction', 'Drama']",39200000.0,127.0,ko,544 days,Wintersemester 1415,Tuesday,2015-01-27,38
218,American hustle,American Hustle,2013-12-03,6.853,"['Drama', 'Crime']",40000000.0,138.0,en,427 days,Wintersemester 1415,Tuesday,2015-02-03,16
219,Gott verhüte,The Priest's Children,2013-01-03,6.3,"['Comedy', 'Drama']",1750000.0,93.0,hr,768 days,Wintersemester 1415,Tuesday,2015-02-10,33
220,Bohemian Rhapsody,Bohemian Rhapsody,2018-10-24,7.988,"['Music', 'Drama']",52000000.0,135.0,en,167 days,Sommersemester 19,Tuesday,2019-04-09,276
221,Requiem for a Dream,Requiem for a Dream,2000-10-06,8.019,"['Crime', 'Drama']",4500000.0,102.0,en,6760 days,Sommersemester 19,Wednesday,2019-04-10,17
222,Zabriskie Point,Zabriskie Point,1970-03-26,7.105,['Drama'],7000000.0,113.0,en,17913 days,Sommersemester 19,Thursday,2019-04-11,3
223,Blue My Mind,Blue My Mind,2017-10-02,6.7,"['Fantasy', 'Drama']",0.0,97.0,de,561 days,Sommersemester 19,Tuesday,2019-04-16,17
224,Transit,Transit,2018-04-05,6.694,['Drama'],0.0,102.0,de,377 days,Sommersemester 19,Wednesday,2019-04-17,14
225,Dave made a Maze,Dave Made a Maze,2017-08-18,6.4,"['Comedy', 'Adventure', 'Horror', 'Fantasy']",0.0,80.0,en,613 days,Sommersemester 19,Tuesday,2019-04-23,19
226,Soylent Green,Soylent Green,1973-04-18,6.951,"['Science Fiction', 'Thriller']",0.0,97.0,en,16807 days,Sommersemester 19,Wednesday,2019-04-24,34
227,McQueen,McQueen,2018-06-08,7.5,['Documentary'],0.0,111.0,en,321 days,Sommersemester 19,Thursday,2019-04-25,50
228,Why Are we Creative?,Why Are We Creative?: The Centipede's Dilemma,2018-09-07,6.68,['Documentary'],0.0,84.0,de,235 days,Sommersemester 19,Tuesday,2019-04-30,56
229,Leave no Trace,Leave No Trace,2018-06-29,6.787,['Drama'],0.0,109.0,en,307 days,Sommersemester 19,Thursday,2019-05-02,17
230,Welcome to Sodom,Welcome to Sodom,2018-03-20,7.0,['Documentary'],0.0,92.0,en,414 days,Sommersemester 19,Wednesday,2019-05-08,54
231,American Animals,American Animals,2018-06-01,6.763,"['Drama', 'Crime', 'Documentary']",3000000.0,117.0,en,342 days,Sommersemester 19,Thursday,2019-05-09,24
232,Mutafukaz,MFKZ,2018-05-23,7.1,"['Science Fiction', 'Animation', 'Action', 'Crime', 'Comedy']",0.0,95.0,fr,356 days,Sommersemester 19,Tuesday,2019-05-14,23
233,Kirschblüten und rote Bohnen,Sweet Bean,2015-05-30,7.465,['Drama'],0.0,113.0,ja,1446 days,Sommersemester 19,Wednesday,2019-05-15,23
234,Mandy,Mandy,2018-09-13,6.2,"['Fantasy', 'Action', 'Horror']",6000000.0,122.0,en,245 days,Sommersemester 19,Thursday,2019-05-16,30
235,Das wandelnde Schloss,Howl's Moving Castle,2004-09-09,8.4,"['Fantasy', 'Animation', 'Adventure']",24000000.0,119.0,ja,5368 days,Sommersemester 19,Wednesday,2019-05-22,95
236,Mid90s,mid90s,2018-10-19,7.5,"['Drama', 'Comedy']",1700000.0,86.0,en,216 days,Sommersemester 19,Thursday,2019-05-23,37
237,Styx,Styx,2018-09-13,6.4,['Drama'],0.0,94.0,de,257 days,Sommersemester 19,Tuesday,2019-05-28,13
238,Tomorrow,Tomorrow,2014-09-20,7.12,"['Drama', 'Romance']",0.0,13.0,en,1717 days,Sommersemester 19,Monday,2019-06-03,12
239,Donbass,Donbass,2016-03-09,6.92,['Documentary'],0.0,57.0,fr,1182 days,Sommersemester 19,Tuesday,2019-06-04,12
240,Love Simon,"Love, Simon",2018-02-16,8.019,"['Comedy', 'Drama', 'Romance']",17000000.0,110.0,en,487 days,Sommersemester 19,Tuesday,2019-06-18,77
241,The House that Jack Built,The House That Jack Built,2018-07-05,7.1,"['Drama', 'Horror', 'Crime', 'Thriller']",9800000.0,151.0,en,349 days,Sommersemester 19,Wednesday,2019-06-19,29
242,Phantastische Tierwesen 2,Fantastic Beasts: The Crimes of Grindelwald,2018-11-14,6.9,"['Fantasy', 'Adventure']",200000000.0,134.0,en,223 days,Sommersemester 19,Tuesday,2019-06-25,59
243,Glücklich wie Lazzaro,Happy as Lazzaro,2018-05-31,7.402,"['Drama', 'Fantasy']",0.0,128.0,it,392 days,Sommersemester 19,Thursday,2019-06-27,5
244,The Favourite,The Favourite,2018-11-23,7.516,"['Drama', 'Comedy', 'Thriller']",15000000.0,120.0,en,221 days,Sommersemester 19,Tuesday,2019-07-02,38
245,MIA,Mia,2017-12-17,6.333,"['Drama', 'Documentary']",0.0,11.0,es,563 days,Sommersemester 19,Wednesday,2019-07-03,12
246,Perfect Blue,Perfect Blue,1998-02-28,8.3,"['Animation', 'Thriller']",830000.0,82.0,ja,7796 days,Sommersemester 19,Thursday,2019-07-04,24
247,Beautiful Boy,Beautiful Boy,2018-10-12,7.558,['Drama'],25000000.0,119.0,en,270 days,Sommersemester 19,Tuesday,2019-07-09,29
248,Shoplifters,Shoplifters,2018-06-02,7.864,"['Drama', 'Crime', 'Thriller']",0.0,120.0,ja,404 days,Sommersemester 19,Thursday,2019-07-11,20
249,Donnie Darko,Donnie Darko,2001-01-19,7.779,"['Fantasy', 'Drama', 'Mystery']",4500000.0,114.0,en,7586 days,Wintersemester 2122,Wednesday,2021-10-27,32
250,Capernaum,Capernaum,2018-09-20,8.156,['Drama'],4000000.0,126.0,ar,1154 days,Wintersemester 2122,Wednesday,2021-11-17,18
251,The Farewell,The Farewell,2019-07-12,7.438,"['Comedy', 'Drama']",250300.0,100.0,en,866 days,Wintersemester 2122,Wednesday,2021-11-24,12
252,R.E.D.,RED,2010-10-13,6.697,"['Action', 'Adventure', 'Comedy', 'Crime', 'Thriller']",58000000.0,111.0,en,181 days,Sommersemester 11,Tuesday,2011-04-12,63
253,Der kleine Nick,Little Nicholas,2009-09-30,6.049,['Comedy'],22700000.0,91.0,fr,560 days,Sommersemester 11,Wednesday,2011-04-13,46
254,We want Sex,Made in Dagenham,2010-10-01,6.681,"['Comedy', 'Drama', 'History']",7200000.0,113.0,en,200 days,Sommersemester 11,Tuesday,2011-04-19,46
255,22 Bullets,22 Bullets,2010-03-23,6.676,"['Drama', 'Crime', 'Thriller']",24000000.0,117.0,fr,393 days,Sommersemester 11,Wednesday,2011-04-20,29
256,The Road,The Road,2009-11-25,7.003,"['Adventure', 'Drama']",32000000.0,111.0,en,517 days,Sommersemester 11,Tuesday,2011-04-26,22
257,The Social Network,The Social Network,2010-10-01,7.4,['Drama'],40000000.0,121.0,en,208 days,Sommersemester 11,Wednesday,2011-04-27,216
258,Nowhere Boy,Nowhere Boy,2009-12-25,7.171,['Drama'],0.0,98.0,en,501 days,Sommersemester 11,Tuesday,2011-05-10,50
259,Summer Wars,Summer Wars,2009-08-01,7.471,"['Animation', 'Science Fiction']",0.0,114.0,ja,648 days,Sommersemester 11,Wednesday,2011-05-11,63
260,Blow Up,Blow-Up,1966-12-18,7.372,"['Drama', 'Mystery', 'Thriller']",1800000.0,111.0,en,16221 days,Sommersemester 11,Tuesday,2011-05-17,47
261,Mary & Max,Mary Poppins,1964-12-17,7.6,"['Comedy', 'Family', 'Fantasy']",4650000.0,139.0,en,16953 days,Sommersemester 11,Wednesday,2011-05-18,54
262,Lost Children,The City of Lost Children,1995-05-17,7.3,"['Fantasy', 'Science Fiction', 'Adventure']",18000000.0,108.0,fr,5851 days,Sommersemester 11,Tuesday,2011-05-24,44
